LPG,CO,Smoke
0.00559676,0.00321693,0.0146164
0.00712669,0.00449285,0.0189212
0.00709525,0.00446547,0.018832
0.00744935,0.00477645,0.0198377
0.00973449,0.00691397,0.0264002
0.00721785,0.00457248,0.0191798
0.00894871,0.00615458,0.0241303
0.00799145,0.00526352,0.0213834
0.00857366,0.00580089,0.0230516
0.00622012,0.00372254,0.0163618
0.00709431,0.00446465,0.0188294
0.00829626,0.00554306,0.0222558
0.00878388,0.00599843,0.0236558
0.00744636,0.0047738,0.0198291
0.00735046,0.00468902,0.0195565
0.00958742,0.00676999,0.0259744
0.00999174,0.0071678,0.0271461
0.00589885,0.00345941,0.0154607
0.00802488,0.00529399,0.021479
0.00999558,0.00717162,0.0271573
0.00667268,0.00410207,0.0176365
0.00981525,0.00699338,0.0266342
0.010488,0.00766453,0.0285886
0.00955771,0.006741,0.0258884
0.00769015,0.00499119,0.0205234
0.0101877,0.00736281,0.0277151
0.00934475,0.00653426,0.0252727
0.00727437,0.00462205,0.0193403
0.00867126,0.00589237,0.023332
0.0069978,0.00438092,0.0185559
0.00588938,0.00345173,0.0154342
0.00580563,0.00338407,0.0151998
0.00500986,0.00276017,0.0129853
0.00792965,0.00520734,0.0212068
0.00692359,0.00431682,0.0183458
0.00740601,0.00473808,0.0197144
0.0080139,0.00528398,0.0214476
0.00591076,0.00346906,0.015494
0.00801703,0.00528683,0.0214565
0.0073234,0.00466517,0.0194796
0.0119633,0.00919392,0.0329041
0.00678465,0.00419753,0.0179528
0.00910096,0.00629979,0.0245691
0.00666026,0.00409152,0.0176014
0.00592737,0.00348255,0.0155406
0.0105165,0.00769336,0.0286717
0.00873509,0.00595242,0.0235155
0.00741644,0.0047473,0.019744
0.00484855,0.00263808,0.0125391
0.00557384,0.00319874,0.0145525
0.0086561,0.00587814,0.0232884
0.00608415,0.00361052,0.01598
0.00944611,0.00663244,0.0255657
0.00835123,0.00559388,0.0224133
0.00718085,0.00454011,0.0190748
0.00782003,0.00510809,0.0208938
0.00782523,0.00511279,0.0209087
0.00646883,0.00392986,0.0170615
0.00747221,0.00479672,0.0199027
0.00711991,0.00448694,0.018902
0.00604054,0.0035748,0.0158577
0.00776874,0.00506183,0.0207475
0.00984555,0.00702324,0.0267221
0.00691856,0.00431248,0.0183315
0.0131096,0.0104335,0.0362824
